Cara,Tipo de cara,Nombre de campaña,Cliente,Operación,Código de contrato (opcional),Monto total,APS Global,CUIC,Articulo,Ejecutivo de Ventas,Descripción (opcional),Periodo,Segmentos,Versión,Ciudad
MD1338,Contraflujo,LIGA LPGA CDMX Y MD 2026,CORTESIA,CORTESIA,55287,$0,70885,10867,CT-P1-COB-MR,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,LIGA LPGA CDMX Y MERIDA 2026,Mérida
MD1339,Flujo,TECEL IMUndial 2026,TELCEL,RENTA,55416,"$2,200",70814,1880,RT-P1-COB-MR,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,PAQUETE 4 HORAS,Mérida
MD1339,Contraflujo,ROSQUITAS 2026,GALLETAS DONDE,CORTESIA,1356,"$2,103",1356,0,RT-P1-COB-MR,NOEMI MUÑOZ,,Catorcenas 2026,Catorcena #7,ROSQUITAS,Mérida
MD1340,Flujo,HELADOS NESTLE,BUFALO,RENTA,55250,"$3,600",70812,11513,RT-P1-COB-MR,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,SEBASTIAN YATRA,Mérida
MD1340,Contraflujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1341,Flujo,STIHL 100 AÑOS,STIHL,RENTA,55227,"$2,400",70691,11387,RT-P1-COB-MR,ALEJANDRO HERRERA,,Catorcenas 2026,Catorcena #7,STIHL 100 AÑOS,Mérida
MD1341,Contraflujo,DISEÑA TU CIUDAD,"MUNICIPIO DE MERIDA, YUCATÁN",CORTESIA,55418,$0,70919,10278,CT-P1-COB-MR,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,DISEÑA TU CIUDAD,Mérida
MD1342,Flujo,HELADOS NESTLE,BUFALO,RENTA,55250,"$3,600",70812,11513,RT-P1-COB-MR,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,SEBASTIAN YATRA,Mérida
MD1342,Contraflujo,NUTRIRINDES,CARNATION,RENTA,55266,"$2,500",70747,10714,RT-P1-COB-MR,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #7,NUTRIRINDES,Mérida
MD1343,Flujo,ROSQUITAS 2026,GALLETAS DONDE,CORTESIA,1356,"$2,103",1356,0,RT-P1-COB-MR,NOEMI MUÑOZ,,Catorcenas 2026,Catorcena #7,ROSQUITAS,Mérida
MD1343,Contraflujo,IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,CORTESIA,Mérida
MD1400,Flujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1400,Contraflujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1344,Flujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1344,Contraflujo,DISEÑA TU CIUDAD,"MUNICIPIO DE MERIDA, YUCATÁN",CORTESIA,55418,$0,70919,10278,CT-P1-COB-MR,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,DISEÑA TU CIUDAD,Mérida
MD1345,Flujo,IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,CORTESIA,Mérida
MD1345,Contraflujo,ELECTROLIT,ELECTROLIT,RENTA,1690,"$2,958",1376,10460,RT-P1-COB-MR,BEGOÑA BEORLEGUI,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1346,Flujo,NUTRIRINDES,CARNATION,RENTA,55266,"$2,500",70747,10714,RT-P1-COB-MR,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #7,NUTRIRINDES,Mérida
MD1346,Contraflujo,HELADOS NESTLE,BUFALO,RENTA,55250,"$3,600",70812,11513,RT-P1-COB-MR,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,SEBASTIAN YATRA,Mérida
MD1347,Flujo,FRESKO MERIDA,LA COMER,RENTA,55027,"$3,000",70748,304,RT-P1-COB-MR,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #7,FRESKO,Mérida
MD1347,Contraflujo,FRESKO MERIDA,LA COMER,RENTA,55027,"$3,000",70748,304,RT-P1-COB-MR,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #7,FRESKO,Mérida
MD1348,Flujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
