Campaña,Anunciante,Operación,Código de contrato (Opcional),Precio por cara (Opcional),APS Global,CUIC,Articulo,Vendedor,Descripción (Opcional),Inicio o Periodo,Fin o Segmento,Arte,Código de arte (Opcional),Arte Url (Opcional),Origen del arte (Opcional),Unidad,Cara,Ciudad,Tipo de Distribución,Reproducciones
PANDORA,PANDORA,RENTA,1339,"$5,750",1284,11740,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #4,GENERICO,,,,1073,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54573,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #4,PURPLE,,,,1073,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54573,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #4,PURPLE,,,,1074,Flujo,Ciudad de México,RENTA,
SEPHORA SAN VALENTIN,SEPHORA,BONIFICACION,1331,$0,1337,10890,BF-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #4,SEPHORA CON AMOR 7 PERFUMES,,,,1074,Contraflujo,Ciudad de México,RENTA,
SEPHORA SAN VALENTIN,SEPHORA,BONIFICACION,1331,$0,1337,10890,BF-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #4,SEPHORA CON AMOR 7 PERFUMES,,,,1075,Contraflujo,Ciudad de México,RENTA,
AVON ULTRA REINVENCION,AVON,RENTA,1301,"$2,968",1347,11287,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #4,AVÓN ,,,,1076,Flujo,Ciudad de México,RENTA,
SABRITAS MUNDIAL,SABRITAS,RENTA,54556,"$3,950",#N/A,#N/A,#N/A,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #4,SABRITAL SAL /  ADOBADAS,,,,1076,Contraflujo,Ciudad de México,RENTA,
AUDIBLE,AUDIBLE,RENTA,54513,"$3,153",70577,11487,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #4,AUDIBLE,,,,1577,Flujo,Ciudad de México,RENTA,
VISA BBVA CARRERA DE COMPRAS 3,VISA,RENTA,54561,"$5,788",70659,2538,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #4,VISA BBVA PAREJA / VISA BBVA TRIO (GENÉRICO),,,,1577,Contraflujo,Ciudad de México,RENTA,
HERBAL,HERBAL ESSENSES,RENTA,54560,"$3,966",70603,11260,RT-DIG-PRG-PB,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #4,HERBAL PERFUME CAPILAR,,,,1079,Flujo,Ciudad de México,RENTA,
HOPPERS,DISNEY,RENTA,54651,"$4,171",70706,11785,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #4,GENERICO,,,,1079,Contraflujo,Ciudad de México,RENTA,
HOPPERS,DISNEY,RENTA,54651,"$4,171",70706,11785,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #4,GENERICO,,,,1080,Flujo,Ciudad de México,RENTA,
AUDIBLE,AUDIBLE,RENTA,54513,"$3,153",70577,11487,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #4,AUDIBLE,,,,1080,Contraflujo,Ciudad de México,RENTA,
TABCIN,ASPIRINA,RENTA,54524,"$4,500",70560,8730,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #4,TABCIN DIA,,,,1081,Flujo,Ciudad de México,RENTA,
PANDORA,PANDORA,RENTA,1339,"$5,750",1284,11740,RT-P1-PRA-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #4,GENERICO,,,,1081,Contraflujo,Ciudad de México,RENTA,
TABCIN,ASPIRINA,RENTA,54524,"$4,500",70560,8730,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #4,TABCIN NOCHE,,,,1082,Flujo,Ciudad de México,RENTA,
SEPHORA SAN VALENTIN,SEPHORA,BONIFICACION,1331,$0,1337,10890,BF-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #4,SEPHORA CON AMOR 7 PERFUMES,,,,1082,Contraflujo,Ciudad de México,RENTA,
LOREAL - GARNIER - HAIR FOODIES - Ola 1,LOREAL,RENTA,54592,"$3,400",70578,5174,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #4,DANNA DE ESPALDA,,,,1083,Flujo,Ciudad de México,RENTA,
VISA BANORTE,VISA,RENTA,54548,"$5,460",70062,2538,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #4,VISA BONORTE,,,,1083,Contraflujo,Ciudad de México,RENTA,
EL PALACIO IMAGEN,EL PALACIO DE HIERRO,RENTA,54639,"$3,935",70661,9898,RT-P2-COB-BR,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #4,SANTA FE,,,,1084,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54573,"$6,000",70466,5171,RT-P1-PRA-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #4,PURPLE,,,,1084,Contraflujo,Ciudad de México,RENTA,
EL PALACIO IMAGEN,EL PALACIO DE HIERRO,RENTA,54639,"$3,935",70661,9898,RT-P2-COB-BR,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #4,SANTA FE,,,,1085,Flujo,Ciudad de México,RENTA,
HERO 25,BATISTE,RENTA,53858,"$4,293",70298,11268,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #4,HERO,,,,1085,Contraflujo,Ciudad de México,RENTA,
SEPHORA SAN VALENTIN,SEPHORA,BONIFICACION,1331,$0,1337,10890,BF-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #4,SEPHORA CON AMOR 7 PERFUMES,,,,1086,Flujo,Ciudad de México,RENTA,
SEPHORA SAN VALENTIN,SEPHORA,BONIFICACION,1331,$0,1337,10890,BF-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #4,SEPHORA CON AMOR 4 PERFUMES,,,,1086,Contraflujo,Ciudad de México,RENTA,
